Time (ms),Pitch (Hz),Clarity
0,,0
10,,0
20,,0
30,,0
40,,0
50,,0
60,,0
70,,0
80,,0
90,,0
100,,0
110,,0
120,,0
130,,0
140,,0
150,,0
160,,0
170,,0
180,,0
190,,0
200,,0
210,,0
220,,0
230,,0
240,,0
250,,0
260,,0
270,,0
280,,0
290,,0
300,,0
310,,0
320,,0
330,,0
340,,0
350,,0
360,,0
370,,0
380,,0
390,,0
400,,0
410,,0
420,,0
430,,0
440,,0
450,,0
460,,0
470,,0
480,,0
490,,0
500,,0
510,,0
520,,0
530,,0
540,,0
550,,0
560,,0
570,,0
580,,0
590,,0
600,,0
610,,0
620,,0
630,,0
640,,0
650,,0
660,,0
670,,0
680,,0
690,,0
700,,0
710,,0
720,,0
730,,0
740,,0
750,,0
760,,0
770,,0
780,,0
790,,0
800,88200,0
810,378.76395,0.214890063
820,228.48,0.275435984
830,401.47318,0.220657289
840,834.68024,0.243607521
850,824.675,0.23117888
860,225.0462,0.31908071
870,324.28076,0.260552287
880,818.4823,0.262623072
890,238.34363,0.244817913
900,292.39114,0.200570166
910,855.1201,0.297297239
920,714.41113,0.230698526
930,857.58673,0.182811379
940,414.29932,0.199895859
950,1426.375,0.249261677
960,276.068,0.211071908
970,7386.054,0.229122043
980,618.57654,0.162594795
990,741.3721,0.096229374
1000,751.2127,0.213716924
1010,983.4121,0.20564878
1020,3773.1882,0.218934894
1030,5238.2095,0.218897641
1040,4834.5967,0.154929578
1050,4724.443,0.222547591
1060,1341.3727,0.217019975
1070,701.9621,0.266689539
1080,1221.9015,0.244882464
1090,14533.045,0.268292665
1100,687.56165,0.243329585
1110,343.07312,0.205105603
1120,14114.423,0.312903225
1130,4345.7837,0.217759013
1140,649.2212,0.218643785
1150,8831.211,0.224137902
1160,784.2769,0.294452369
1170,2685.5815,0.293023229
1180,254.62372,0.20321691
1190,698.6871,0.244839072
1200,7186.681,0.255078971
1210,976.36566,0.274402499
1220,852.5108,0.21586448
1230,2434.318,0.268188298
1240,2463.1343,0.216883123
1250,812.74475,0.216692746
1260,1825.0682,0.246281028
1270,6757.0386,0.212361336
1280,604.0338,0.279422939
1290,7473.184,0.327305615
1300,414.3426,0.221042812
1310,2539.7183,0.220668197
1320,800.17676,0.20615828
1330,253.56442,0.218944669
1340,654.45703,0.213284254
1350,261.51337,0.162585258
1360,5006.1978,0.3671875
1370,812.2492,0.226857543
1380,677.456,0.207317114
1390,2223.2915,0.131807387
1400,907.82874,0.21760118
1410,498.03168,0.21834594
1420,338.5954,0.20656836
1430,1215.1466,0.239971817
1440,919.51245,0.092583597
1450,223.24413,0.26372999
1460,510.7662,0.355146587
1470,1107.845,0.211822689
1480,1690.5337,0.232876718
1490,1099.6168,0.217148185
1500,496.3906,0.26408267
1510,1200.4498,0.257800877
1520,247.5277,0.257656693
1530,492.27826,0.212180972
1540,254.19173,0.214677513
1550,771.3211,0.206438959
1560,6563.676,0.283464551
1570,903.85095,0.218932986
1580,1642.1807,0.249591291
1590,274.15854,0.206950784
1600,944.2306,0.283900499
1610,244.8437,0.239946365
1620,245.7264,0.221674085
1630,5452.0127,0.206225693
1640,518.8707,0.207707286
1650,241.6906,0.201426029
1660,1243.6263,0.217330515
1670,4866.1035,0.204268277
1680,326.24667,0.206518829
1690,681.37415,0.210005641
1700,365.27664,0.235710979
1710,520.8337,0.185737133
1720,681.3297,0.212439418
1730,277.60226,0.19206208
1740,358.55096,0.228227258
1750,2774.9846,0.208300054
